anio,mes,Produccion,empleados,establecimientos,sector_Textil,Produccion_predicha,mes_num,fecha,Sector
2004,julio,,441,8,True,2481261,07,2004-07-01,Textil (naranja)
2004,agosto,,252,2,False,1785193,08,2004-08-01,Pesquera (Azul)
2004,agosto,,450,8,True,2496621,08,2004-08-01,Textil (naranja)
2004,septiembre,,443,8,True,2484674,09,2004-09-01,Textil (naranja)
2004,septiembre,,256,2,False,1792020,09,2004-09-01,Pesquera (Azul)
2004,octubre,,219,1,False,1692221,10,2004-10-01,Pesquera (Azul)
2004,octubre,,464,8,True,2520516,10,2004-10-01,Textil (naranja)
2004,noviembre,,219,1,False,1692221,11,2004-11-01,Pesquera (Azul)
2004,noviembre,,466,8,True,2523930,11,2004-11-01,Textil (naranja)
2004,diciembre,,237,2,False,1759592,12,2004-12-01,Pesquera (Azul)
2004,diciembre,,448,7,True,2456559,12,2004-12-01,Textil (naranja)
2005,enero,,472,8,True,2476166,01,2005-01-01,Textil (naranja)
2005,enero,,255,2,False,1732310,01,2005-01-01,Pesquera (Azul)
2005,febrero,,259,2,False,1739137,02,2005-02-01,Pesquera (Azul)
2005,febrero,,485,8,True,2498354,02,2005-02-01,Textil (naranja)
2005,marzo,,270,2,False,1757911,03,2005-03-01,Pesquera (Azul)
2005,marzo,,500,8,True,2523955,03,2005-03-01,Textil (naranja)
2005,abril,,276,2,False,1768151,04,2005-04-01,Pesquera (Azul)
2005,abril,,509,8,True,2539316,04,2005-04-01,Textil (naranja)
2005,mayo,,515,8,True,2549556,05,2005-05-01,Textil (naranja)
2005,mayo,,274,2,False,1764738,05,2005-05-01,Pesquera (Azul)
2005,junio,,525,8,True,2566624,06,2005-06-01,Textil (naranja)
2005,junio,,277,2,False,1769858,06,2005-06-01,Pesquera (Azul)
2005,julio,,275,2,False,1766445,07,2005-07-01,Pesquera (Azul)
2005,julio,,536,8,True,2585398,07,2005-07-01,Textil (naranja)
2005,agosto,,278,2,False,1771565,08,2005-08-01,Pesquera (Azul)
2005,agosto,,530,8,True,2575158,08,2005-08-01,Textil (naranja)
2005,septiembre,,170,1,False,1550586,09,2005-09-01,Pesquera (Azul)
2005,septiembre,,545,8,True,2600759,09,2005-09-01,Textil (naranja)
2005,octubre,,118,1,False,1461835,10,2005-10-01,Pesquera (Azul)
2005,octubre,,557,8,True,2621240,10,2005-10-01,Textil (naranja)
2005,noviembre,,576,8,True,2653669,11,2005-11-01,Textil (naranja)
