anio,mes,sector,establecimientos
2015,agosto,Confeccionista,6
2015,septiembre,Confeccionista,6
2015,octubre,Confeccionista,6
2015,noviembre,Confeccionista,6
2015,diciembre,Confeccionista,6
2016,enero,Confeccionista,6
2016,febrero,Confeccionista,6
2016,marzo,Confeccionista,6
2016,abril,Confeccionista,6
2016,mayo,Confeccionista,6
2016,junio,Confeccionista,6
2016,julio,Confeccionista,6
2016,agosto,Confeccionista,6
2016,septiembre,Confeccionista,6
2016,octubre,Confeccionista,6
2016,noviembre,Confeccionista,6
2016,diciembre,Confeccionista,6
2017,enero,Confeccionista,6
2017,febrero,Confeccionista,6
2017,marzo,Confeccionista,6
2017,abril,Confeccionista,6
2017,mayo,Confeccionista,6
2017,junio,Confeccionista,6
2017,julio,Confeccionista,6
2017,agosto,Confeccionista,6
2017,septiembre,Confeccionista,6
2017,octubre,Confeccionista,6
2017,noviembre,Confeccionista,6
2017,diciembre,Confeccionista,6
2018,enero,Confeccionista,6
2018,febrero,Confeccionista,6
2018,marzo,Confeccionista,6
2018,abril,Confeccionista,6
2018,mayo,Confeccionista,6
2018,junio,Confeccionista,6
2018,julio,Confeccionista,6
2018,agosto,Confeccionista,5
2018,septiembre,Confeccionista,5
2018,octubre,Confeccionista,5
2018,noviembre,Confeccionista,5
2018,diciembre,Confeccionista,5
2019,enero,Confeccionista,4
2019,febrero,Confeccionista,5
2019,marzo,Confeccionista,5
2019,abril,Confeccionista,5
2019,mayo,Confeccionista,4
2019,junio,Confeccionista,4
2019,julio,Confeccionista,5
2019,agosto,Confeccionista,5
2019,septiembre,Confeccionista,4
2019,octubre,Confeccionista,5
2019,noviembre,Confeccionista,5
2019,diciembre,Confeccionista,5
2020,enero,Confeccionista,5
2020,febrero,Confeccionista,5
2020,marzo,Confeccionista,5
2020,abril,Confeccionista,5
2020,mayo,Confeccionista,5
2020,junio,Confeccionista,5
2020,julio,Confeccionista,5
2020,agosto,Confeccionista,5
2020,septiembre,Confeccionista,5
2020,octubre,Confeccionista,5
2020,noviembre,Confeccionista,5
2020,diciembre,Confeccionista,4
2021,enero,Confeccionista,5
2021,febrero,Confeccionista,5
2021,marzo,Confeccionista,5
2021,abril,Confeccionista,5
2021,mayo,Confeccionista,5
2021,junio,Confeccionista,5
2021,julio,Confeccionista,5
2021,agosto,Confeccionista,5
2021,septiembre,Confeccionista,5
2021,octubre,Confeccionista,5
2021,noviembre,Confeccionista,5
2021,diciembre,Confeccionista,4
2022,enero,Confeccionista,5
2022,febrero,Confeccionista,4
2022,marzo,Confeccionista,5
2022,abril,Confeccionista,5
2022,mayo,Confeccionista,5
2022,junio,Confeccionista,5
2022,julio,Confeccionista,5
2022,agosto,Confeccionista,5
2022,septiembre,Confeccionista,5
2022,octubre,Confeccionista,5
2022,noviembre,Confeccionista,5
2022,diciembre,Confeccionista,5
2023,enero,Confeccionista,5
2023,febrero,Confeccionista,4
2023,marzo,Confeccionista,4
2023,abril,Confeccionista,4
2023,mayo,Confeccionista,4
2023,junio,Confeccionista,4
2023,julio,Confeccionista,4
2023,agosto,Confeccionista,4
2023,septiembre,Confeccionista,4
2023,octubre,Confeccionista,4
2023,noviembre,Confeccionista,3
2023,diciembre,Confeccionista,4
2024,enero,Confeccionista,4
2024,febrero,Confeccionista,4
2024,marzo,Confeccionista,4
2024,abril,Confeccionista,4
2024,mayo,Confeccionista,4
2024,junio,Confeccionista,4
2024,julio,Confeccionista,4
2024,agosto,Confeccionista,4
2024,septiembre,Confeccionista,4
2024,octubre,Confeccionista,4
2024,noviembre,Confeccionista,4
2024,diciembre,Confeccionista,4
2025,enero,Confeccionista,4
2025,febrero,Confeccionista,4
2025,marzo,Confeccionista,4
2001,enero,Electronica,22
2001,febrero,Electronica,21
2001,marzo,Electronica,21
2001,abril,Electronica,20
2001,mayo,Electronica,20
2001,junio,Electronica,20
2001,julio,Electronica,20
2001,agosto,Electronica,20
2001,septiembre,Electronica,20
2001,octubre,Electronica,20
2001,noviembre,Electronica,20
2001,diciembre,Electronica,17
2002,enero,Electronica,18
2002,febrero,Electronica,17
2002,marzo,Electronica,17
2002,abril,Electronica,17
2002,mayo,Electronica,16
2002,junio,Electronica,16
2002,julio,Electronica,16
2002,agosto,Electronica,16
2002,septiembre,Electronica,16
2002,octubre,Electronica,16
2002,noviembre,Electronica,16
2002,diciembre,Electronica,16
2003,enero,Electronica,16
2003,febrero,Electronica,16
2003,marzo,Electronica,16
2003,abril,Electronica,16
2003,mayo,Electronica,16
2003,junio,Electronica,16
2003,julio,Electronica,16
2003,agosto,Electronica,16
2003,septiembre,Electronica,16
2003,octubre,Electronica,16
2003,noviembre,Electronica,16
2003,diciembre,Electronica,16
2004,enero,Electronica,18
2004,febrero,Electronica,18
2004,marzo,Electronica,18
2004,abril,Electronica,18
2004,mayo,Electronica,18
2004,junio,Electronica,18
2004,julio,Electronica,18
2004,agosto,Electronica,18
2004,septiembre,Electronica,18
2004,octubre,Electronica,19
2004,noviembre,Electronica,19
2004,diciembre,Electronica,19
2005,enero,Electronica,19
2005,febrero,Electronica,19
2005,marzo,Electronica,19
2005,abril,Electronica,20
2005,mayo,Electronica,20
2005,junio,Electronica,20
2005,julio,Electronica,20
2005,agosto,Electronica,20
2005,septiembre,Electronica,20
2005,octubre,Electronica,18
2005,noviembre,Electronica,22
2005,diciembre,Electronica,21
2006,enero,Electronica,20
2006,febrero,Electronica,20
2006,marzo,Electronica,20
2006,abril,Electronica,20
2006,mayo,Electronica,20
2006,junio,Electronica,20
2006,julio,Electronica,20
2006,agosto,Electronica,20
2006,septiembre,Electronica,20
2006,octubre,Electronica,20
2006,noviembre,Electronica,20
2006,diciembre,Electronica,18
2007,enero,Electronica,20
2007,febrero,Electronica,20
2007,marzo,Electronica,20
2007,abril,Electronica,20
2007,mayo,Electronica,20
2007,junio,Electronica,19
2007,julio,Electronica,20
2007,agosto,Electronica,20
2007,septiembre,Electronica,19
2007,octubre,Electronica,19
2007,noviembre,Electronica,19
2007,diciembre,Electronica,19
2008,enero,Electronica,20
2008,febrero,Electronica,20
2008,marzo,Electronica,20
2008,abril,Electronica,20
2008,mayo,Electronica,20
2008,junio,Electronica,21
2008,julio,Electronica,21
2008,agosto,Electronica,21
2008,septiembre,Electronica,21
2008,octubre,Electronica,21
2008,noviembre,Electronica,21
2008,diciembre,Electronica,21
2009,enero,Electronica,21
2009,febrero,Electronica,21
2009,marzo,Electronica,22
2009,abril,Electronica,22
2009,mayo,Electronica,23
2009,junio,Electronica,23
2009,julio,Electronica,23
2009,agosto,Electronica,23
2009,septiembre,Electronica,22
2009,octubre,Electronica,24
2009,noviembre,Electronica,23
2009,diciembre,Electronica,21
2010,enero,Electronica,24
2010,febrero,Electronica,24
2010,marzo,Electronica,24
2010,abril,Electronica,25
2010,mayo,Electronica,25
2010,junio,Electronica,25
2010,julio,Electronica,25
2010,agosto,Electronica,25
2010,septiembre,Electronica,25
2010,octubre,Electronica,25
2010,noviembre,Electronica,22
2010,diciembre,Electronica,22
2011,enero,Electronica,21
2011,febrero,Electronica,22
2011,marzo,Electronica,22
2011,abril,Electronica,22
2011,mayo,Electronica,22
2011,junio,Electronica,23
2011,julio,Electronica,23
2011,agosto,Electronica,23
2011,septiembre,Electronica,23
2011,octubre,Electronica,23
2011,noviembre,Electronica,23
2011,diciembre,Electronica,24
2012,enero,Electronica,23
2012,febrero,Electronica,23
2012,marzo,Electronica,24
2012,abril,Electronica,24
2012,mayo,Electronica,25
2012,junio,Electronica,26
2012,julio,Electronica,26
2012,agosto,Electronica,27
2012,septiembre,Electronica,27
2012,octubre,Electronica,27
