anio,mes,sector,Produccion,empleados,establecimientos
2014,diciembre,Confeccionista,207726,382,6
2014,diciembre,Electronica,843945,8442,28
2014,diciembre,Otros,2326895,418,3
2014,diciembre,Pesquera,1381679,476,3
2014,diciembre,Plastica,6208416,755,7
2014,diciembre,Textil,1662619,656,8
2015,enero,Confeccionista,228059,397,6
2015,enero,Electronica,452592,8101,28
2015,enero,Otros,605296,405,3
2015,enero,Pesquera,1993768,484,3
2015,enero,Plastica,5699209,750,7
2015,enero,Textil,1753597,653,8
2015,febrero,Confeccionista,376008,394,6
2015,febrero,Electronica,1041700,8751,28
2015,febrero,Otros,2502838,401,3
2015,febrero,Pesquera,1833484,462,3
2015,febrero,Plastica,6703243,761,7
2015,febrero,Textil,2502238,659,8
2015,marzo,Confeccionista,418446,397,6
2015,marzo,Electronica,1366552,8784,28
2015,marzo,Otros,2784246,405,3
2015,marzo,Pesquera,1604794,445,3
2015,marzo,Plastica,8777702,753,7
2015,marzo,Textil,2881814,657,8
2015,abril,Confeccionista,402080,396,6
2015,abril,Electronica,1429323,9359,28
2015,abril,Otros,2974568,403,3
2015,abril,Pesquera,1311268,442,3
2015,abril,Plastica,8378931,751,7
2015,abril,Textil,2485116,665,8
2015,mayo,Confeccionista,348626,394,6
2015,mayo,Electronica,1434447,9944,28
2015,mayo,Otros,1645753,400,3
2015,mayo,Pesquera,1588143,439,3
2015,mayo,Plastica,8736245,787,7
2015,mayo,Textil,2449465,656,8
2015,junio,Confeccionista,371269,380,6
2015,junio,Electronica,1673155,10554,28
2015,junio,Otros,2243848,406,3
2015,junio,Pesquera,1421880,451,3
2015,junio,Plastica,9306644,785,7
2015,junio,Textil,2168984,659,8
2015,julio,Confeccionista,359448,369,6
2015,julio,Electronica,1692873,11227,28
2015,julio,Otros,2495916,409,3
2015,julio,Pesquera,1627258,471,3
2015,julio,Plastica,9103024,801,7
2015,julio,Textil,2550138,662,8
2015,agosto,Confeccionista,366942,386,6
2015,agosto,Electronica,1907775,11944,28
2015,agosto,Otros,1865512,404,3
2015,agosto,Pesquera,1046034,483,3
2015,agosto,Plastica,9907592,810,7
2015,agosto,Textil,2711991,686,8
2015,septiembre,Confeccionista,442022,390,6
2015,septiembre,Electronica,2234524,12980,28
2015,septiembre,Otros,2195196,412,3
2015,septiembre,Pesquera,1341353,466,3
2015,septiembre,Plastica,10512316,806,7
2015,septiembre,Textil,3063759,694,8
2015,octubre,Confeccionista,385704,383,6
2015,octubre,Electronica,2584134,13706,28
2015,octubre,Otros,232369,453,3
2015,octubre,Pesquera,1397406,477,3
2015,octubre,Plastica,9310114,813,7
2015,octubre,Textil,3445725,733,8
2015,noviembre,Confeccionista,471951,389,6
2015,noviembre,Electronica,2520468,13820,28
2015,noviembre,Otros,3059314,453,3
2015,noviembre,Pesquera,1626093,492,3
2015,noviembre,Plastica,7638384,780,7
2015,noviembre,Textil,3436191,768,8
2015,diciembre,Confeccionista,258387,388,6
2015,diciembre,Electronica,1676879,13408,28
2015,diciembre,Otros,2451078,500,3
2015,diciembre,Pesquera,1921772,504,3
2015,diciembre,Plastica,7064304,780,7
2015,diciembre,Textil,2640509,767,8
2016,enero,Confeccionista,245152,388,6
2016,enero,Electronica,832510,10034,28
2016,enero,Otros,629243,503,3
2016,enero,Pesquera,2151149,512,3
2016,enero,Plastica,6846812,817,7
2016,enero,Textil,1649512,728,8
2016,febrero,Confeccionista,433600,395,6
2016,febrero,Electronica,1663744,10202,28
2016,febrero,Otros,2473052,488,3
2016,febrero,Pesquera,2042445,511,3
2016,febrero,Plastica,8815590,838,7
2016,febrero,Textil,2700294,713,8
2016,marzo,Confeccionista,429906,392,6
2016,marzo,Electronica,1904469,10152,28
2016,marzo,Otros,2382011,493,3
2016,marzo,Pesquera,1064138,510,3
2016,marzo,Plastica,9780510,812,7
2016,marzo,Textil,3249374,720,8
2016,abril,Confeccionista,505113,403,6
2016,abril,Electronica,1692160,9713,28
2016,abril,Otros,3184760,499,3
2016,abril,Pesquera,1131738,499,3
2016,abril,Plastica,9209110,796,7
2016,abril,Textil,3109397,755,8
2016,mayo,Confeccionista,435803,400,6
2016,mayo,Electronica,1423276,9335,28
2016,mayo,Otros,2019817,507,3
2016,mayo,Pesquera,1702250,479,3
2016,mayo,Plastica,9677046,772,7
2016,mayo,Textil,3121007,763,8
