anio,mes,sector,Produccion
2014,agosto,Electronica,1804478
2014,septiembre,Electronica,1768065
2014,octubre,Electronica,1606395
2014,noviembre,Electronica,1213095
2014,diciembre,Electronica,843945
2015,enero,Electronica,452592
2015,febrero,Electronica,1041700
2015,marzo,Electronica,1366552
2015,abril,Electronica,1429323
2015,mayo,Electronica,1434447
2015,junio,Electronica,1673155
2015,julio,Electronica,1692873
2015,agosto,Electronica,1907775
2015,septiembre,Electronica,2234524
2015,octubre,Electronica,2584134
2015,noviembre,Electronica,2520468
2015,diciembre,Electronica,1676879
2016,enero,Electronica,832510
2016,febrero,Electronica,1663744
2016,marzo,Electronica,1904469
2016,abril,Electronica,1692160
2016,mayo,Electronica,1423276
2016,junio,Electronica,1326159
2016,julio,Electronica,1224491
2016,agosto,Electronica,1458319
2016,septiembre,Electronica,1451614
2016,octubre,Electronica,1246910
2016,noviembre,Electronica,1458018
2016,diciembre,Electronica,653754
2017,enero,Electronica,471312
2017,febrero,Electronica,1124886
2017,marzo,Electronica,1432996
2017,abril,Electronica,1276167
2017,mayo,Electronica,1507805
2017,junio,Electronica,1402816
2017,julio,Electronica,1497207
2017,agosto,Electronica,1842333
2017,septiembre,Electronica,1619919
2017,octubre,Electronica,1714437
2017,noviembre,Electronica,1784303
2017,diciembre,Electronica,1146795
2018,enero,Electronica,843983
2018,febrero,Electronica,1451177
2018,marzo,Electronica,1722452
2018,abril,Electronica,1508069
2018,mayo,Electronica,1560488
2018,junio,Electronica,1016559
2018,julio,Electronica,1016504
2018,agosto,Electronica,1062447
2018,septiembre,Electronica,810898
2018,octubre,Electronica,938262
2018,noviembre,Electronica,886652
2018,diciembre,Electronica,516471
2019,enero,Electronica,361916
2019,febrero,Electronica,722980
2019,marzo,Electronica,778486
2019,abril,Electronica,835813
2019,mayo,Electronica,983448
2019,junio,Electronica,874689
2019,julio,Electronica,1169246
2019,agosto,Electronica,1130373
2019,septiembre,Electronica,841821
2019,octubre,Electronica,886472
2019,noviembre,Electronica,838822
2019,diciembre,Electronica,690316
2020,enero,Electronica,564258
2020,febrero,Electronica,759914
2020,marzo,Electronica,440186
2020,abril,Electronica,841821
2020,mayo,Electronica,310987
2020,junio,Electronica,792215
2020,julio,Electronica,1131857
2020,agosto,Electronica,587285
2020,septiembre,Electronica,1182031
2020,octubre,Electronica,1319701
2020,noviembre,Electronica,1546342
2020,diciembre,Electronica,1176020
2021,enero,Electronica,915482
2021,febrero,Electronica,1136892
2021,marzo,Electronica,1559395
2021,abril,Electronica,1402020
