anio,mes,sector,Produccion,empleados,establecimientos
2003,julio,Textil,,345,7
2003,agosto,Confeccionista,,367,6
2003,agosto,Electronica,,1207,16
2003,agosto,Otros,,124,4
2003,agosto,Pesquera,,235,2
2003,agosto,Plastica,,347,9
2003,agosto,Textil,,376,8
2003,septiembre,Confeccionista,,377,6
2003,septiembre,Electronica,,1277,16
2003,septiembre,Otros,,128,4
2003,septiembre,Pesquera,,239,2
2003,septiembre,Plastica,,383,9
2003,septiembre,Textil,,382,8
2003,octubre,Confeccionista,,415,6
2003,octubre,Electronica,,1419,16
2003,octubre,Otros,,126,4
2003,octubre,Pesquera,,235,2
2003,octubre,Plastica,,396,9
2003,octubre,Textil,,394,8
2003,noviembre,Confeccionista,,402,6
2003,noviembre,Electronica,,1402,16
2003,noviembre,Otros,,131,4
2003,noviembre,Pesquera,,226,2
2003,noviembre,Plastica,,398,9
2003,noviembre,Textil,,390,8
2003,diciembre,Confeccionista,,402,6
2003,diciembre,Electronica,,1271,16
2003,diciembre,Otros,,130,4
2003,diciembre,Pesquera,,237,2
2003,diciembre,Plastica,,415,9
2003,diciembre,Textil,,388,7
2004,enero,Confeccionista,,407,6
2004,enero,Electronica,,1349,18
2004,enero,Otros,,127,4
2004,enero,Pesquera,,230,2
2004,enero,Plastica,,429,9
2004,enero,Textil,,410,8
2004,febrero,Confeccionista,,419,6
2004,febrero,Electronica,,1359,18
2004,febrero,Otros,,135,4
2004,febrero,Pesquera,,234,2
2004,febrero,Plastica,,463,9
2004,febrero,Textil,,424,8
2004,marzo,Confeccionista,,425,6
2004,marzo,Electronica,,1504,18
2004,marzo,Otros,,136,4
2004,marzo,Pesquera,,246,2
2004,marzo,Plastica,,484,9
2004,marzo,Textil,,415,8
2004,abril,Confeccionista,,421,6
2004,abril,Electronica,,1559,18
2004,abril,Otros,,135,4
2004,abril,Pesquera,,246,2
2004,abril,Plastica,,491,9
2004,abril,Textil,,411,8
2004,mayo,Confeccionista,,426,6
2004,mayo,Electronica,,1688,18
2004,mayo,Otros,,128,4
2004,mayo,Pesquera,,246,2
2004,mayo,Plastica,,463,9
2004,mayo,Textil,,427,8
2004,junio,Confeccionista,,424,6
2004,junio,Electronica,,1756,18
2004,junio,Otros,,128,4
2004,junio,Pesquera,,246,2
2004,junio,Plastica,,435,9
2004,junio,Textil,,434,8
2004,julio,Confeccionista,,432,6
2004,julio,Electronica,,1706,18
2004,julio,Otros,,125,4
2004,julio,Pesquera,,252,2
2004,julio,Plastica,,425,9
2004,julio,Textil,,441,8
2004,agosto,Confeccionista,,434,6
2004,agosto,Electronica,,2110,18
2004,agosto,Otros,,126,4
2004,agosto,Pesquera,,252,2
2004,agosto,Plastica,,435,9
2004,agosto,Textil,,450,8
2004,septiembre,Confeccionista,,430,6
2004,septiembre,Electronica,,2573,18
2004,septiembre,Otros,,124,4
2004,septiembre,Pesquera,,256,2
2004,septiembre,Plastica,,449,9
2004,septiembre,Textil,,443,8
2004,octubre,Confeccionista,,432,6
2004,octubre,Electronica,,2704,19
2004,octubre,Otros,,123,4
2004,octubre,Pesquera,,219,1
2004,octubre,Plastica,,467,9
2004,octubre,Textil,,464,8
2004,noviembre,Confeccionista,,445,6
2004,noviembre,Electronica,,2590,19
2004,noviembre,Otros,,130,4
2004,noviembre,Pesquera,,219,1
2004,noviembre,Plastica,,501,9
2004,noviembre,Textil,,466,8
2004,diciembre,Confeccionista,,421,5
2004,diciembre,Electronica,,1964,19
2004,diciembre,Otros,,126,4
2004,diciembre,Pesquera,,237,2
2004,diciembre,Plastica,,515,9
2004,diciembre,Textil,,448,7
2005,enero,Confeccionista,,475,6
2005,enero,Electronica,,1766,19
2005,enero,Otros,,122,4
2005,enero,Pesquera,,255,2
2005,enero,Plastica,,533,9
2005,enero,Textil,,472,8
2005,febrero,Confeccionista,,488,6
2005,febrero,Electronica,,1775,19
2005,febrero,Otros,,127,4
2005,febrero,Pesquera,,259,2
2005,febrero,Plastica,,537,9
2005,febrero,Textil,,485,8
2005,marzo,Confeccionista,,506,6
2005,marzo,Electronica,,1934,19
2005,marzo,Otros,,129,4
2005,marzo,Pesquera,,270,2
2005,marzo,Plastica,,570,9
2005,marzo,Textil,,500,8
2005,abril,Confeccionista,,508,6
2005,abril,Electronica,,1985,20
2005,abril,Otros,,131,4
2005,abril,Pesquera,,276,2
2005,abril,Plastica,,575,9
2005,abril,Textil,,509,8
2005,mayo,Confeccionista,,525,6
2005,mayo,Electronica,,2229,20
2005,mayo,Otros,,128,4
2005,mayo,Pesquera,,274,2
2005,mayo,Plastica,,553,9
2005,mayo,Textil,,515,8
2005,junio,Confeccionista,,541,6
2005,junio,Electronica,,2530,20
2005,junio,Otros,,126,4
2005,junio,Pesquera,,277,2
2005,junio,Plastica,,487,8
2005,junio,Textil,,525,8
2005,julio,Confeccionista,,533,6
2005,julio,Electronica,,2638,20
2005,julio,Otros,,126,4
2005,julio,Pesquera,,275,2
2005,julio,Plastica,,555,9
2005,julio,Textil,,536,8
2005,agosto,Confeccionista,,534,6
2005,agosto,Electronica,,3044,20
2005,agosto,Otros,,125,4
2005,agosto,Pesquera,,278,2
2005,agosto,Plastica,,565,9
2005,agosto,Textil,,530,8
2005,septiembre,Confeccionista,,532,6
2005,septiembre,Electronica,,3373,20
2005,septiembre,Otros,,125,4
2005,septiembre,Pesquera,,170,1
2005,septiembre,Plastica,,549,8
2005,septiembre,Textil,,545,8
