anio,mes,sector,empleados
2015,agosto,Confeccionista,386
2015,septiembre,Confeccionista,390
2015,octubre,Confeccionista,383
2015,noviembre,Confeccionista,389
2015,diciembre,Confeccionista,388
2016,enero,Confeccionista,388
2016,febrero,Confeccionista,395
2016,marzo,Confeccionista,392
2016,abril,Confeccionista,403
2016,mayo,Confeccionista,400
2016,junio,Confeccionista,406
2016,julio,Confeccionista,400
2016,agosto,Confeccionista,401
2016,septiembre,Confeccionista,383
2016,octubre,Confeccionista,374
2016,noviembre,Confeccionista,371
2016,diciembre,Confeccionista,365
2017,enero,Confeccionista,362
2017,febrero,Confeccionista,359
2017,marzo,Confeccionista,357
2017,abril,Confeccionista,357
2017,mayo,Confeccionista,361
2017,junio,Confeccionista,334
2017,julio,Confeccionista,335
2017,agosto,Confeccionista,336
2017,septiembre,Confeccionista,332
2017,octubre,Confeccionista,326
2017,noviembre,Confeccionista,332
2017,diciembre,Confeccionista,311
2018,enero,Confeccionista,328
2018,febrero,Confeccionista,330
2018,marzo,Confeccionista,338
2018,abril,Confeccionista,333
2018,mayo,Confeccionista,331
2018,junio,Confeccionista,329
2018,julio,Confeccionista,324
2018,agosto,Confeccionista,326
2018,septiembre,Confeccionista,320
2018,octubre,Confeccionista,319
2018,noviembre,Confeccionista,312
2018,diciembre,Confeccionista,309
2019,enero,Confeccionista,285
2019,febrero,Confeccionista,245
2019,marzo,Confeccionista,244
2019,abril,Confeccionista,219
2019,mayo,Confeccionista,220
2019,junio,Confeccionista,219
2019,julio,Confeccionista,221
2019,agosto,Confeccionista,216
2019,septiembre,Confeccionista,213
2019,octubre,Confeccionista,205
2019,noviembre,Confeccionista,217
2019,diciembre,Confeccionista,211
2020,enero,Confeccionista,220
2020,febrero,Confeccionista,228
2020,marzo,Confeccionista,231
2020,abril,Confeccionista,210
2020,mayo,Confeccionista,224
2020,junio,Confeccionista,239
2020,julio,Confeccionista,252
2020,agosto,Confeccionista,251
2020,septiembre,Confeccionista,257
2020,octubre,Confeccionista,290
2020,noviembre,Confeccionista,295
2020,diciembre,Confeccionista,262
2021,enero,Confeccionista,274
2021,febrero,Confeccionista,273
2021,marzo,Confeccionista,306
2021,abril,Confeccionista,307
2021,mayo,Confeccionista,282
2021,junio,Confeccionista,274
2021,julio,Confeccionista,289
2021,agosto,Confeccionista,283
2021,septiembre,Confeccionista,267
2021,octubre,Confeccionista,285
2021,noviembre,Confeccionista,281
