anio,mes,sector,Produccion
2015,agosto,Electronica,1907775.0
2015,diciembre,Electronica,1676879.0
2015,enero,Electronica,452592.0
2015,febrero,Electronica,1041700.0
2015,julio,Electronica,1692873.0
2015,junio,Electronica,1673155.0
2015,marzo,Electronica,1366552.0
2015,mayo,Electronica,1434447.0
2015,noviembre,Electronica,2520468.0
2015,octubre,Electronica,2584134.0
2015,septiembre,Electronica,2234524.0
2016,abril,Electronica,1692160.0
2016,agosto,Electronica,1458319.0
2016,diciembre,Electronica,653754.0
2016,enero,Electronica,832510.0
2016,febrero,Electronica,1663744.0
2016,julio,Electronica,1224491.0
2016,junio,Electronica,1326159.0
2016,marzo,Electronica,1904469.0
2016,mayo,Electronica,1423276.0
2016,noviembre,Electronica,1458018.0
2016,octubre,Electronica,1246910.0
2016,septiembre,Electronica,1451614.0
2017,abril,Electronica,1276167.0
2017,agosto,Electronica,1842333.0
2017,diciembre,Electronica,1146795.0
2017,enero,Electronica,471312.0
2017,febrero,Electronica,1124886.0
2017,julio,Electronica,1497207.0
2017,junio,Electronica,1402816.0
2017,marzo,Electronica,1432996.0
2017,mayo,Electronica,1507805.0
2017,noviembre,Electronica,1784303.0
2017,octubre,Electronica,1714437.0
2017,septiembre,Electronica,1619919.0
2018,abril,Electronica,1508069.0
2018,agosto,Electronica,1062447.0
2018,diciembre,Electronica,516471.0
2018,enero,Electronica,843983.0
2018,febrero,Electronica,1451177.0
2018,julio,Electronica,1016504.0
2018,junio,Electronica,1016559.0
2018,marzo,Electronica,1722452.0
2018,mayo,Electronica,1560488.0
2018,noviembre,Electronica,886652.0
2018,octubre,Electronica,938262.0
2018,septiembre,Electronica,810898.0
2019,abril,Electronica,835813.0
2019,agosto,Electronica,1130373.0
2019,diciembre,Electronica,690316.0
2019,enero,Electronica,361916.0
2019,febrero,Electronica,722980.0
2019,julio,Electronica,1169246.0
2019,junio,Electronica,874689.0
2019,marzo,Electronica,778486.0
2019,mayo,Electronica,983448.0
2019,noviembre,Electronica,838822.0
2019,octubre,Electronica,886472.0
2019,septiembre,Electronica,841821.0
2020,abril,Electronica,841821.0
2020,agosto,Electronica,587285.0
2020,diciembre,Electronica,1176020.0
2020,enero,Electronica,564258.0
2020,febrero,Electronica,759914.0
2020,julio,Electronica,1131857.0
2020,junio,Electronica,792215.0
2020,marzo,Electronica,440186.0
2020,mayo,Electronica,310987.0
2020,noviembre,Electronica,1546342.0
2020,octubre,Electronica,1319701.0
2020,septiembre,Electronica,1182031.0
2021,abril,Electronica,1402020.0
2021,agosto,Electronica,1311542.0
2021,diciembre,Electronica,1256766.0
2021,enero,Electronica,915482.0
2021,febrero,Electronica,1136892.0
2021,julio,Electronica,1421617.0
2021,junio,Electronica,1364564.0
2021,marzo,Electronica,1559395.0
2021,mayo,Electronica,1075187.0
2021,noviembre,Electronica,1287282.0
2021,octubre,Electronica,1103196.0
2021,septiembre,Electronica,1324373.0
2022,abril,Electronica,1079659.0
2022,agosto,Electronica,1070900.0
2022,diciembre,Electronica,1219116.0
2022,enero,Electronica,774909.0
2022,febrero,Electronica,1082286.0
2022,julio,Electronica,1740748.0
2022,junio,Electronica,2038129.0
2022,marzo,Electronica,1290560.0
2022,mayo,Electronica,1477155.0
2022,noviembre,Electronica,1566696.0
2022,octubre,Electronica,1405222.0
2022,septiembre,Electronica,1177570.0
2023,abril,Electronica,1333622.0
2023,agosto,Electronica,1531782.0
2023,diciembre,Electronica,429113.0
2023,enero,Electronica,700134.0
2023,febrero,Electronica,1191030.0
2023,julio,Electronica,1061571.0
2023,junio,Electronica,1411883.0
2023,marzo,Electronica,1725946.0
2023,mayo,Electronica,1457884.0
2023,noviembre,Electronica,1125193.0
2023,octubre,Electronica,1374657.0
2023,septiembre,Electronica,1466217.0
2024,abril,Electronica,612458.0
2024,agosto,Electronica,1009405.0
2024,diciembre,Electronica,1099022.0
2024,enero,Electronica,221477.0
2024,febrero,Electronica,433096.0
2024,julio,Electronica,952209.0
2024,junio,Electronica,601136.0
2024,marzo,Electronica,636645.0
2024,mayo,Electronica,588716.0
2024,noviembre,Electronica,1260593.0
2024,octubre,Electronica,1003368.0
2024,septiembre,Electronica,1107179.0
2025,enero,Electronica,773676.0
2025,febrero,Electronica,935562.0
2025,marzo,Electronica,887363.0
2014,abril,Otros,3606334.0
2014,agosto,Otros,4115802.0
2014,diciembre,Otros,2326895.0
2014,enero,Otros,2723714.0
2014,febrero,Otros,2008138.0
2014,julio,Otros,3907903.0
2014,junio,Otros,4029703.0
2014,marzo,Otros,2576382.0
2014,mayo,Otros,3376108.0
2014,noviembre,Otros,3548094.0
2014,octubre,Otros,3933395.0
2014,septiembre,Otros,3865077.0
2015,abril,Otros,2974568.0
2015,agosto,Otros,1865512.0
2015,diciembre,Otros,2451078.0
2015,enero,Otros,605296.0
2015,febrero,Otros,2502838.0
2015,julio,Otros,2495916.0
2015,junio,Otros,2243848.0
2015,marzo,Otros,2784246.0
2015,mayo,Otros,1645753.0
2015,noviembre,Otros,3059314.0
2015,octubre,Otros,232369.0
2015,septiembre,Otros,2195196.0
2016,abril,Otros,3184760.0
2016,agosto,Otros,928111.0
2016,diciembre,Otros,754858.0
2016,enero,Otros,629243.0
2016,febrero,Otros,2473052.0
2016,julio,Otros,749727.0
2016,junio,Otros,1952458.0
2016,marzo,Otros,2382011.0
2016,mayo,Otros,2019817.0
2016,noviembre,Otros,1010605.0
2016,octubre,Otros,1382200.0
2016,septiembre,Otros,1013673.0
2017,abril,Otros,125556.0
2017,agosto,Otros,158913.0
2017,diciembre,Otros,23962.0
2017,enero,Otros,84968.0
2017,febrero,Otros,824522.0
2017,julio,Otros,178985.0
2017,junio,Otros,165147.0
2017,marzo,Otros,141212.0
2017,mayo,Otros,150486.0
2017,noviembre,Otros,114586.0
2017,octubre,Otros,97974.0
2017,septiembre,Otros,140842.0
2018,abril,Otros,104260.0
2018,agosto,Otros,96288.0
2018,diciembre,Otros,4056.0
2018,enero,Otros,75968.0
2018,febrero,Otros,83668.0
2018,julio,Otros,104638.0
2018,junio,Otros,106476.0
2018,marzo,Otros,111312.0
2018,mayo,Otros,107794.0
2018,noviembre,Otros,56288.0
2018,octubre,Otros,29010.0
2018,septiembre,Otros,85640.0
2019,abril,Otros,92904.0
2019,agosto,Otros,83586.0
2019,diciembre,Otros,1170.0
2019,enero,Otros,31302.0
2019,febrero,Otros,66238.0
2019,julio,Otros,109590.0
2019,junio,Otros,86334.0
2019,marzo,Otros,81114.0
2019,mayo,Otros,93704.0
2019,noviembre,Otros,11280.0
2019,octubre,Otros,21738.0
2019,septiembre,Otros,58716.0
2020,abril,Otros,58716.0
2020,agosto,Otros,5060.0
2020,diciembre,Otros,11160.0
2020,enero,Otros,8589.0
2020,febrero,Otros,7884.0
2020,julio,Otros,8856.0
2020,junio,Otros,5124.0
2020,marzo,Otros,5400.0
2020,mayo,Otros,2184.0
2020,noviembre,Otros,11292.0
2020,octubre,Otros,12064.0
2020,septiembre,Otros,11376.0
2021,abril,Otros,7920.0
2021,agosto,Otros,10236.0
2021,diciembre,Otros,8613.0
2021,enero,Otros,6936.0
2021,febrero,Otros,9336.0
2021,julio,Otros,10581.0
2021,junio,Otros,11310.0
2021,marzo,Otros,11196.0
2021,mayo,Otros,10788.0
2021,noviembre,Otros,14208.0
2021,octubre,Otros,9648.0
2021,septiembre,Otros,10848.0
2022,abril,Otros,9924.0
2022,agosto,Otros,9284.0
2022,diciembre,Otros,9935.0
2022,enero,Otros,4656.0
2022,febrero,Otros,10212.0
2022,julio,Otros,13860.0
2022,junio,Otros,13105.0
2022,marzo,Otros,11364.0
2022,mayo,Otros,11136.0
2022,noviembre,Otros,10797.0
2022,octubre,Otros,11448.0
2022,septiembre,Otros,12122.0
2023,abril,Otros,9612.0
2023,agosto,Otros,16260.0
