anio,mes,Produccion,empleados,establecimientos,sector_Electronica,Produccion_predicha,mes_num,fecha,Sector
2004,julio,,432,6,False,504201,07,2004-07-01,Confeccionista (azul)
2004,julio,,1706,18,True,144564,07,2004-07-01,Electrónica (naranja)
2004,agosto,,434,6,False,504578,08,2004-08-01,Confeccionista (azul)
2004,agosto,,2110,18,True,220821,08,2004-08-01,Electrónica (naranja)
2004,septiembre,,2573,18,True,308216,09,2004-09-01,Electrónica (naranja)
2004,septiembre,,430,6,False,503823,09,2004-09-01,Confeccionista (azul)
2004,octubre,,432,6,False,504201,10,2004-10-01,Confeccionista (azul)
2004,octubre,,2704,19,True,329862,10,2004-10-01,Electrónica (naranja)
2004,noviembre,,445,6,False,506655,11,2004-11-01,Confeccionista (azul)
2004,noviembre,,2590,19,True,308343,11,2004-11-01,Electrónica (naranja)
2004,diciembre,,421,5,False,505206,12,2004-12-01,Confeccionista (azul)
2004,diciembre,,1964,19,True,190181,12,2004-12-01,Electrónica (naranja)
2005,enero,,1766,19,True,141559,01,2005-01-01,Electrónica (naranja)
2005,enero,,475,6,False,501069,01,2005-01-01,Confeccionista (azul)
2005,febrero,,488,6,False,503523,02,2005-02-01,Confeccionista (azul)
2005,febrero,,1775,19,True,143258,02,2005-02-01,Electrónica (naranja)
2005,marzo,,506,6,False,506920,03,2005-03-01,Confeccionista (azul)
2005,marzo,,1934,19,True,173270,03,2005-03-01,Electrónica (naranja)
2005,abril,,508,6,False,507298,04,2005-04-01,Confeccionista (azul)
2005,abril,,1985,20,True,179816,04,2005-04-01,Electrónica (naranja)
2005,mayo,,2229,20,True,225872,05,2005-05-01,Electrónica (naranja)
2005,mayo,,525,6,False,510507,05,2005-05-01,Confeccionista (azul)
2005,junio,,2530,20,True,282688,06,2005-06-01,Electrónica (naranja)
2005,junio,,541,6,False,513527,06,2005-06-01,Confeccionista (azul)
2005,julio,,533,6,False,512017,07,2005-07-01,Confeccionista (azul)
2005,julio,,2638,20,True,303074,07,2005-07-01,Electrónica (naranja)
2005,agosto,,534,6,False,512206,08,2005-08-01,Confeccionista (azul)
2005,agosto,,3044,20,True,379709,08,2005-08-01,Electrónica (naranja)
2005,septiembre,,532,6,False,511828,09,2005-09-01,Confeccionista (azul)
2005,septiembre,,3373,20,True,441810,09,2005-09-01,Electrónica (naranja)
2005,octubre,,541,6,False,513527,10,2005-10-01,Confeccionista (azul)
2005,octubre,,3405,18,True,454013,10,2005-10-01,Electrónica (naranja)
2005,noviembre,,3818,22,True,519644,11,2005-11-01,Electrónica (naranja)
2005,noviembre,,550,6,False,515226,11,2005-11-01,Confeccionista (azul)
2005,diciembre,,546,6,False,514471,12,2005-12-01,Confeccionista (azul)
2005,diciembre,,3549,21,True,471950,12,2005-12-01,Electrónica (naranja)
2006,enero,,552,6,False,504355,01,2006-01-01,Confeccionista (azul)
2006,enero,,3052,20,True,369971,01,2006-01-01,Electrónica (naranja)
2006,febrero,,596,6,False,512660,02,2006-02-01,Confeccionista (azul)
2006,febrero,,3312,20,True,419048,02,2006-02-01,Electrónica (naranja)
2006,marzo,,3482,20,True,451136,03,2006-03-01,Electrónica (naranja)
2006,marzo,,658,6,False,524363,03,2006-03-01,Confeccionista (azul)
2006,abril,,651,6,False,523042,04,2006-04-01,Confeccionista (azul)
2006,abril,,3711,20,True,494362,04,2006-04-01,Electrónica (naranja)
2006,mayo,,654,6,False,523608,05,2006-05-01,Confeccionista (azul)
2006,mayo,,3688,20,True,490020,05,2006-05-01,Electrónica (naranja)
2006,junio,,660,6,False,524741,06,2006-06-01,Confeccionista (azul)
2006,junio,,3892,20,True,528527,06,2006-06-01,Electrónica (naranja)
2006,julio,,662,6,False,525118,07,2006-07-01,Confeccionista (azul)
2006,julio,,3878,20,True,525884,07,2006-07-01,Electrónica (naranja)
2006,agosto,,677,6,False,527950,08,2006-08-01,Confeccionista (azul)
2006,agosto,,4164,20,True,579869,08,2006-08-01,Electrónica (naranja)
2006,septiembre,,672,6,False,527006,09,2006-09-01,Confeccionista (azul)
2006,septiembre,,4359,20,True,616676,09,2006-09-01,Electrónica (naranja)
2006,octubre,,656,6,False,523986,10,2006-10-01,Confeccionista (azul)
2006,octubre,,4510,20,True,645179,10,2006-10-01,Electrónica (naranja)
2006,noviembre,,673,6,False,527195,11,2006-11-01,Confeccionista (azul)
2006,noviembre,,4451,20,True,634042,11,2006-11-01,Electrónica (naranja)
2006,diciembre,,3317,18,True,426155,12,2006-12-01,Electrónica (naranja)
2006,diciembre,,668,6,False,526251,12,2006-12-01,Confeccionista (azul)
